iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
21,"((1, 1), ((1, 1),))","((2, 1), ())",West,"['((1, 2), ((1, 1),))', '((2, 1), ((1, 1),))']","['((1, 1), ((1, 1),))', '((10, 4), ())', '((3, 5), ())', '((5, 5), ())', '((1, 3), ())']","['((1, 2), ((1, 1),))', '((10, 4), ())', '((3, 5), ())', '((1, 3), ())', '((5, 5), ())', '((2, 1), ((1, 1),))']","['((1, 1), ((1, 1),))', '((3, 1), ())', '((6, 2), ())', '((1, 2), ())', '((9, 4), ())', '((4, 4), ())', '((3, 3), ())', '((6, 4), ())', '((9, 2), ())', '((2, 2), ())', '((8, 2), ())', '((3, 2), ())', '((8, 4), ())', '((3, 4), ())', '((5, 4), ())', '((7, 2), ())', '((9, 3), ())', '((7, 4), ())', '((2, 1), ())', '((5, 2), ())', '((5, 1), ())']",18,49,67
22,"((1, 2), ((1, 1),))","((1, 1), ((1, 1),))",North,"['((1, 3), ((1, 1),))', '((1, 1), ((1, 1),))', '((2, 2), ((1, 1),))']","['((1, 2), ((1, 1),))', '((10, 4), ())', '((3, 5), ())', '((1, 3), ())', '((5, 5), ())', '((2, 1), ((1, 1),))']","['((1, 3), ((1, 1),))', '((5, 5), ())', '((10, 4), ())', '((1, 3), ())', '((2, 1), ((1, 1),))', '((3, 5), ())', '((2, 2), ((1, 1),))']","['((1, 1), ((1, 1),))', '((3, 1), ())', '((6, 2), ())', '((1, 2), ())', '((9, 4), ())', '((4, 4), ())', '((1, 2), ((1, 1),))', '((3, 3), ())', '((6, 4), ())', '((9, 2), ())', '((2, 2), ())', '((8, 2), ())', '((3, 2), ())', '((8, 4), ())', '((3, 4), ())', '((5, 4), ())', '((7, 2), ())', '((9, 3), ())', '((7, 4), ())', '((2, 1), ())', '((5, 2), ())', '((5, 1), ())']",19,48,67
23,"((1, 3), ((1, 1),))","((1, 2), ((1, 1),))",North,"['((1, 4), ((1, 1),))', '((1, 2), ((1, 1),))']","['((1, 3), ((1, 1),))', '((5, 5), ())', '((10, 4), ())', '((1, 3), ())', '((2, 1), ((1, 1),))', '((3, 5), ())', '((2, 2), ((1, 1),))']","['((1, 4), ((1, 1),))', '((5, 5), ())', '((10, 4), ())', '((1, 3), ())', '((2, 1), ((1, 1),))', '((2, 2), ((1, 1),))', '((3, 5), ())']","['((1, 1), ((1, 1),))', '((3, 1), ())', '((6, 2), ())', '((1, 2), ())', '((9, 4), ())', '((4, 4), ())', '((1, 2), ((1, 1),))', '((3, 3), ())', '((6, 4), ())', '((9, 2), ())', '((2, 2), ())', '((8, 2), ())', '((3, 2), ())', '((8, 4), ())', '((3, 4), ())', '((5, 4), ())', '((7, 2), ())', '((9, 3), ())', '((1, 3), ((1, 1),))', '((7, 4), ())', '((2, 1), ())', '((5, 2), ())', '((5, 1), ())']",20,47,67
24,"((1, 4), ((1, 1),))","((1, 3), ((1, 1),))",North,"['((1, 3), ((1, 1),))']","['((1, 4), ((1, 1),))', '((5, 5), ())', '((10, 4), ())', '((1, 3), ())', '((2, 1), ((1, 1),))', '((2, 2), ((1, 1),))', '((3, 5), ())']","['((10, 4), ())', '((5, 5), ())', '((3, 5), ())', '((1, 3), ())', '((2, 1), ((1, 1),))', '((2, 2), ((1, 1),))']","['((1, 1), ((1, 1),))', '((3, 1), ())', '((6, 2), ())', '((1, 2), ())', '((9, 4), ())', '((4, 4), ())', '((1, 2), ((1, 1),))', '((3, 3), ())', '((6, 4), ())', '((1, 4), ((1, 1),))', '((9, 2), ())', '((2, 2), ())', '((8, 2), ())', '((3, 2), ())', '((8, 4), ())', '((3, 4), ())', '((5, 4), ())', '((7, 2), ())', '((9, 3), ())', '((1, 3), ((1, 1),))', '((7, 4), ())', '((2, 1), ())', '((5, 2), ())', '((5, 1), ())']",21,46,67
25,"((10, 4), ())","((9, 4), ())",East,"['((11, 4), ())', '((9, 4), ())']","['((10, 4), ())', '((5, 5), ())', '((3, 5), ())', '((1, 3), ())', '((2, 1), ((1, 1),))', '((2, 2), ((1, 1),))']","['((5, 5), ())', '((1, 3), ())', '((3, 5), ())', '((2, 2), ((1, 1),))', '((2, 1), ((1, 1),))', '((11, 4), ())']","['((1, 1), ((1, 1),))', '((3, 1), ())', '((6, 2), ())', '((1, 2), ())', '((9, 4), ())', '((4, 4), ())', '((1, 2), ((1, 1),))', '((3, 3), ())', '((6, 4), ())', '((1, 4), ((1, 1),))', '((9, 2), ())', '((2, 2), ())', '((8, 2), ())', '((3, 2), ())', '((10, 4), ())', '((8, 4), ())', '((3, 4), ())', '((5, 4), ())', '((7, 2), ())', '((9, 3), ())', '((1, 3), ((1, 1),))', '((7, 4), ())', '((2, 1), ())', '((5, 2), ())', '((5, 1), ())']",8,61,69
26,"((5, 5), ())","((5, 4), ())",North,"['((5, 6), ())', '((5, 4), ())']","['((5, 5), ())', '((1, 3), ())', '((3, 5), ())', '((2, 2), ((1, 1),))', '((2, 1), ((1, 1),))', '((11, 4), ())']","['((3, 5), ())', '((1, 3), ())', '((11, 4), ())', '((2, 2), ((1, 1),))', '((2, 1), ((1, 1),))', '((5, 6), ())']","['((1, 1), ((1, 1),))', '((3, 1), ())', '((6, 2), ())', '((1, 2), ())', '((9, 4), ())', '((4, 4), ())', '((1, 2), ((1, 1),))', '((3, 3), ())', '((6, 4), ())', '((1, 4), ((1, 1),))', '((9, 2), ())', '((2, 2), ())', '((8, 2), ())', '((3, 2), ())', '((10, 4), ())', '((8, 4), ())', '((3, 4), ())', '((5, 5), ())', '((5, 4), ())', '((7, 2), ())', '((9, 3), ())', '((1, 3), ((1, 1),))', '((7, 4), ())', '((2, 1), ())', '((5, 2), ())', '((5, 1), ())']",12,57,69
27,"((3, 5), ())","((3, 4), ())",North,"['((3, 6), ())', '((3, 4), ())']","['((3, 5), ())', '((1, 3), ())', '((11, 4), ())', '((2, 2), ((1, 1),))', '((2, 1), ((1, 1),))', '((5, 6), ())']","['((1, 3), ())', '((2, 1), ((1, 1),))', '((11, 4), ())', '((2, 2), ((1, 1),))', '((5, 6), ())', '((3, 6), ())']","['((1, 1), ((1, 1),))', '((3, 1), ())', '((6, 2), ())', '((1, 2), ())', '((9, 4), ())', '((4, 4), ())', '((1, 2), ((1, 1),))', '((3, 3), ())', '((6, 4), ())', '((1, 4), ((1, 1),))', '((9, 2), ())', '((2, 2), ())', '((8, 2), ())', '((3, 2), ())', '((10, 4), ())', '((8, 4), ())', '((3, 4), ())', '((5, 5), ())', '((5, 4), ())', '((7, 2), ())', '((9, 3), ())', '((1, 3), ((1, 1),))', '((7, 4), ())', '((3, 5), ())', '((2, 1), ())', '((5, 2), ())', '((5, 1), ())']",14,55,69
28,"((1, 3), ())","((1, 2), ())",North,"['((1, 4), ())', '((1, 2), ())']","['((1, 3), ())', '((2, 1), ((1, 1),))', '((11, 4), ())', '((2, 2), ((1, 1),))', '((5, 6), ())', '((3, 6), ())']","['((2, 1), ((1, 1),))', '((2, 2), ((1, 1),))', '((11, 4), ())', '((3, 6), ())', '((5, 6), ())', '((1, 4), ())']","['((1, 1), ((1, 1),))', '((3, 1), ())', '((6, 2), ())', '((1, 2), ())', '((9, 4), ())', '((4, 4), ())', '((1, 2), ((1, 1),))', '((3, 3), ())', '((6, 4), ())', '((1, 4), ((1, 1),))', '((9, 2), ())', '((2, 2), ())', '((8, 2), ())', '((3, 2), ())', '((10, 4), ())', '((8, 4), ())', '((3, 4), ())', '((5, 5), ())', '((5, 4), ())', '((7, 2), ())', '((1, 3), ())', '((9, 3), ())', '((1, 3), ((1, 1),))', '((7, 4), ())', '((3, 5), ())', '((2, 1), ())', '((5, 2), ())', '((5, 1), ())']",18,51,69
29,"((2, 1), ((1, 1),))","((1, 1), ((1, 1),))",East,"['((2, 2), ((1, 1),))', '((3, 1), ((1, 1),))', '((1, 1), ((1, 1),))']","['((2, 1), ((1, 1),))', '((2, 2), ((1, 1),))', '((11, 4), ())', '((3, 6), ())', '((5, 6), ())', '((1, 4), ())']","['((2, 2), ((1, 1),))', '((5, 6), ())', '((11, 4), ())', '((3, 6), ())', '((1, 4), ())', '((3, 1), ((1, 1),))']","['((1, 1), ((1, 1),))', '((3, 1), ())', '((6, 2), ())', '((1, 2), ())', '((9, 4), ())', '((4, 4), ())', '((1, 2), ((1, 1),))', '((3, 3), ())', '((6, 4), ())', '((1, 4), ((1, 1),))', '((9, 2), ())', '((2, 2), ())', '((8, 2), ())', '((3, 2), ())', '((10, 4), ())', '((8, 4), ())', '((3, 4), ())', '((5, 5), ())', '((5, 4), ())', '((7, 2), ())', '((1, 3), ())', '((9, 3), ())', '((1, 3), ((1, 1),))', '((7, 4), ())', '((3, 5), ())', '((2, 1), ())', '((5, 2), ())', '((5, 1), ())', '((2, 1), ((1, 1),))']",19,50,69
30,"((2, 2), ((1, 1),))","((1, 2), ((1, 1),))",East,"['((2, 1), ((1, 1),))', '((3, 2), ((1, 1),))', '((1, 2), ((1, 1),))']","['((2, 2), ((1, 1),))', '((5, 6), ())', '((11, 4), ())', '((3, 6), ())', '((1, 4), ())', '((3, 1), ((1, 1),))']","['((11, 4), ())', '((5, 6), ())', '((3, 1), ((1, 1),))', '((3, 6), ())', '((1, 4), ())', '((3, 2), ((1, 1),))']","['((1, 1), ((1, 1),))', '((3, 1), ())', '((6, 2), ())', '((1, 2), ())', '((9, 4), ())', '((4, 4), ())', '((1, 2), ((1, 1),))', '((3, 3), ())', '((6, 4), ())', '((1, 4), ((1, 1),))', '((9, 2), ())', '((2, 2), ())', '((2, 2), ((1, 1),))', '((8, 2), ())', '((3, 2), ())', '((10, 4), ())', '((8, 4), ())', '((3, 4), ())', '((5, 5), ())', '((5, 4), ())', '((7, 2), ())', '((1, 3), ())', '((9, 3), ())', '((1, 3), ((1, 1),))', '((7, 4), ())', '((3, 5), ())', '((2, 1), ())', '((5, 2), ())', '((5, 1), ())', '((2, 1), ((1, 1),))']",20,49,69
