iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
31,"(4, 16)","(5, 16)",West,"['(5, 16)', '(3, 16)']","['(4, 16)', '(25, 15)', '(34, 15)']","['(3, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(5, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(9, 16)', '(11, 16)', '(33, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(6, 16)', '(4, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)']",17179869168,0,17179869168
32,"(3, 16)","(4, 16)",West,"['(4, 16)', '(2, 16)']","['(3, 16)', '(25, 15)', '(34, 15)']","['(2, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(3, 16)', '(5, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(9, 16)', '(11, 16)', '(33, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(6, 16)', '(4, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)']",17179869176,0,17179869176
33,"(2, 16)","(3, 16)",West,"['(3, 16)', '(1, 16)']","['(2, 16)', '(25, 15)', '(34, 15)']","['(1, 16)', '(25, 15)', '(34, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(3, 16)', '(5, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(9, 16)', '(11, 16)', '(33, 16)', '(2, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(6, 16)', '(4, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)']",17179869180,0,17179869180
34,"(1, 16)","(2, 16)",West,"['(1, 15)', '(2, 16)']","['(1, 16)', '(25, 15)', '(34, 15)']","['(34, 15)', '(25, 15)', '(1, 15)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(3, 16)', '(5, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(9, 16)', '(11, 16)', '(33, 16)', '(2, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(6, 16)', '(4, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)', '(1, 16)']",17179869182,0,17179869182
35,"(34, 15)","(34, 16)",South,"['(34, 16)', '(34, 14)']","['(34, 15)', '(25, 15)', '(1, 15)']","['(25, 15)', '(1, 15)', '(34, 14)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(3, 16)', '(5, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(9, 16)', '(11, 16)', '(33, 16)', '(2, 16)', '(24, 16)', '(13, 16)', '(26, 16)', '(15, 16)', '(6, 16)', '(4, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)', '(1, 16)']",17179869184,0,17179869184
36,"(25, 15)","(25, 16)",South,"['(25, 16)', '(25, 14)']","['(25, 15)', '(1, 15)', '(34, 14)']","['(1, 15)', '(34, 14)', '(25, 14)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(3, 16)', '(5, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(9, 16)', '(11, 16)', '(33, 16)', '(2, 16)', '(24, 16)', '(13, 16)', '(25, 15)', '(26, 16)', '(15, 16)', '(6, 16)', '(4, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)', '(1, 16)']",17179869184,0,17179869184
37,"(1, 15)","(1, 16)",South,"['(1, 16)', '(1, 14)']","['(1, 15)', '(34, 14)', '(25, 14)']","['(1, 14)', '(34, 14)', '(25, 14)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(3, 16)', '(5, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(1, 15)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(9, 16)', '(11, 16)', '(33, 16)', '(2, 16)', '(24, 16)', '(13, 16)', '(25, 15)', '(26, 16)', '(15, 16)', '(6, 16)', '(4, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)', '(1, 16)']",17179869184,0,17179869184
38,"(1, 14)","(1, 15)",South,"['(1, 15)', '(1, 13)']","['(1, 14)', '(34, 14)', '(25, 14)']","['(1, 13)', '(34, 14)', '(25, 14)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(3, 16)', '(5, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(1, 15)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(9, 16)', '(11, 16)', '(33, 16)', '(2, 16)', '(24, 16)', '(13, 16)', '(25, 15)', '(1, 14)', '(26, 16)', '(15, 16)', '(6, 16)', '(4, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)', '(1, 16)']",17179869186,0,17179869186
39,"(1, 13)","(1, 14)",South,"['(1, 14)', '(1, 12)']","['(1, 13)', '(34, 14)', '(25, 14)']","['(1, 12)', '(34, 14)', '(25, 14)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(3, 16)', '(5, 16)', '(27, 16)', '(25, 16)', '(16, 16)', '(1, 15)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(9, 16)', '(11, 16)', '(33, 16)', '(2, 16)', '(24, 16)', '(13, 16)', '(25, 15)', '(1, 14)', '(26, 16)', '(15, 16)', '(6, 16)', '(4, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)', '(1, 13)', '(1, 16)']",17179869188,0,17179869188
40,"(1, 12)","(1, 13)",South,"['(1, 13)', '(1, 11)']","['(1, 12)', '(34, 14)', '(25, 14)']","['(1, 11)', '(34, 14)', '(25, 14)']","['(21, 16)', '(23, 16)', '(34, 16)', '(12, 16)', '(14, 16)', '(3, 16)', '(5, 16)', '(27, 16)', '(25, 16)', '(1, 12)', '(16, 16)', '(1, 15)', '(18, 16)', '(29, 16)', '(7, 16)', '(31, 16)', '(20, 16)', '(22, 16)', '(34, 15)', '(9, 16)', '(11, 16)', '(33, 16)', '(2, 16)', '(24, 16)', '(13, 16)', '(25, 15)', '(1, 14)', '(26, 16)', '(15, 16)', '(6, 16)', '(4, 16)', '(28, 16)', '(17, 16)', '(30, 16)', '(19, 16)', '(8, 16)', '(10, 16)', '(32, 16)', '(1, 13)', '(1, 16)']",17179869190,0,17179869190
