iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
30,"(27, 14)","(26, 14)",East,"['(27, 13)', '(26, 14)']","['(34, 10)', '(34, 12)', '(21, 16)', '(23, 16)', '(25, 14)', '(27, 14)']","['(26, 14)', '(27, 13)', '(34, 10)', '(34, 12)', '(21, 16)', '(23, 16)', '(25, 14)']","['(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(26, 14)', '(29, 16)', '(31, 16)', '(34, 12)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 11)', '(34, 14)', '(28, 16)', '(30, 13)', '(27, 14)', '(30, 16)', '(33, 12)', '(32, 16)', '(25, 14)']",13,0,13
31,"(21, 16)","(22, 16)",West,"['(22, 16)', '(20, 16)']","['(26, 14)', '(27, 13)', '(34, 10)', '(34, 12)', '(21, 16)']","['(20, 16)', '(22, 16)', '(26, 14)', '(27, 13)', '(34, 10)', '(34, 12)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(26, 14)', '(29, 16)', '(31, 16)', '(34, 12)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 11)', '(34, 14)', '(28, 16)', '(30, 13)', '(27, 14)', '(30, 16)', '(33, 12)', '(32, 16)', '(25, 14)']",13,0,13
32,"(34, 10)","(34, 11)",South,"['(34, 11)', '(33, 10)']","['(20, 16)', '(22, 16)', '(26, 14)', '(27, 13)', '(34, 10)']","['(33, 10)', '(34, 11)', '(20, 16)', '(22, 16)', '(26, 14)', '(27, 13)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(34, 10)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(26, 14)', '(29, 16)', '(31, 16)', '(34, 12)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 11)', '(34, 14)', '(28, 16)', '(30, 13)', '(27, 14)', '(30, 16)', '(33, 12)', '(32, 16)', '(25, 14)']",14,0,14
33,"(27, 13)","(27, 14)",South,"['(27, 14)', '(27, 12)']","['(33, 10)', '(34, 11)', '(20, 16)', '(22, 16)', '(26, 14)', '(27, 13)']","['(27, 12)', '(27, 14)', '(33, 10)', '(34, 11)', '(20, 16)', '(22, 16)', '(26, 14)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(34, 10)', '(27, 13)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(26, 14)', '(29, 16)', '(31, 16)', '(34, 12)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 11)', '(34, 14)', '(28, 16)', '(30, 13)', '(27, 14)', '(30, 16)', '(33, 12)', '(32, 16)', '(25, 14)']",14,0,14
34,"(20, 16)","(21, 16)",West,"['(21, 16)', '(19, 16)']","['(27, 12)', '(27, 14)', '(33, 10)', '(34, 11)', '(20, 16)']","['(19, 16)', '(21, 16)', '(27, 12)', '(27, 14)', '(33, 10)', '(34, 11)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(34, 10)', '(27, 13)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(26, 14)', '(29, 16)', '(31, 16)', '(20, 16)', '(34, 12)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 11)', '(34, 14)', '(28, 16)', '(30, 13)', '(27, 14)', '(30, 16)', '(33, 12)', '(32, 16)', '(25, 14)']",14,0,14
35,"(33, 10)","(34, 10)",West,"['(34, 10)', '(32, 10)']","['(19, 16)', '(21, 16)', '(27, 12)', '(27, 14)', '(33, 10)']","['(32, 10)', '(34, 10)', '(19, 16)', '(21, 16)', '(27, 12)', '(27, 14)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(34, 10)', '(27, 13)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(26, 14)', '(29, 16)', '(31, 16)', '(20, 16)', '(34, 12)', '(22, 16)', '(34, 15)', '(30, 14)', '(33, 10)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 11)', '(34, 14)', '(28, 16)', '(30, 13)', '(27, 14)', '(30, 16)', '(33, 12)', '(32, 16)', '(25, 14)']",15,0,15
36,"(27, 12)","(27, 13)",South,"['(27, 13)', '(27, 11)']","['(32, 10)', '(34, 10)', '(19, 16)', '(21, 16)', '(27, 12)']","['(27, 11)', '(27, 13)', '(32, 10)', '(34, 10)', '(19, 16)', '(21, 16)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(34, 10)', '(27, 13)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(26, 14)', '(29, 16)', '(31, 16)', '(20, 16)', '(34, 12)', '(22, 16)', '(34, 15)', '(27, 12)', '(30, 14)', '(33, 10)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 11)', '(34, 14)', '(28, 16)', '(30, 13)', '(27, 14)', '(30, 16)', '(33, 12)', '(32, 16)', '(25, 14)']",15,0,15
37,"(19, 16)","(20, 16)",West,"['(20, 16)', '(18, 16)']","['(27, 11)', '(27, 13)', '(32, 10)', '(34, 10)', '(19, 16)']","['(18, 16)', '(20, 16)', '(27, 11)', '(27, 13)', '(32, 10)', '(34, 10)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(34, 10)', '(27, 13)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(26, 14)', '(29, 16)', '(31, 16)', '(20, 16)', '(34, 12)', '(22, 16)', '(34, 15)', '(27, 12)', '(30, 14)', '(33, 10)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 11)', '(34, 14)', '(28, 16)', '(30, 13)', '(27, 14)', '(30, 16)', '(19, 16)', '(33, 12)', '(32, 16)', '(25, 14)']",15,0,15
38,"(32, 10)","(33, 10)",West,"['(33, 10)', '(31, 10)']","['(18, 16)', '(20, 16)', '(27, 11)', '(27, 13)', '(32, 10)']","['(31, 10)', '(33, 10)', '(18, 16)', '(20, 16)', '(27, 11)', '(27, 13)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(34, 10)', '(27, 13)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(26, 14)', '(29, 16)', '(31, 16)', '(20, 16)', '(34, 12)', '(22, 16)', '(34, 15)', '(27, 12)', '(30, 14)', '(33, 10)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 11)', '(34, 14)', '(28, 16)', '(30, 13)', '(27, 14)', '(30, 16)', '(19, 16)', '(33, 12)', '(32, 10)', '(32, 16)', '(25, 14)']",16,0,16
39,"(27, 11)","(27, 12)",South,"['(27, 12)', '(26, 11)']","['(31, 10)', '(33, 10)', '(18, 16)', '(20, 16)', '(27, 11)']","['(26, 11)', '(27, 12)', '(31, 10)', '(33, 10)', '(18, 16)', '(20, 16)']","['(21, 16)', '(31, 14)', '(23, 16)', '(34, 16)', '(34, 10)', '(27, 13)', '(27, 16)', '(30, 12)', '(33, 14)', '(32, 12)', '(25, 16)', '(26, 14)', '(29, 16)', '(31, 16)', '(20, 16)', '(34, 12)', '(22, 16)', '(34, 15)', '(27, 12)', '(30, 14)', '(33, 10)', '(33, 16)', '(32, 14)', '(24, 16)', '(25, 15)', '(26, 16)', '(31, 12)', '(34, 11)', '(34, 14)', '(27, 11)', '(28, 16)', '(30, 13)', '(27, 14)', '(30, 16)', '(19, 16)', '(33, 12)', '(32, 10)', '(32, 16)', '(25, 14)']",16,0,16
